"","player_name","total_starts","last_Tm","last_Pos","sum_PTS_min","sum_FGA_min","sum_FTA_min","sum_AST_min","sum_ORB_min","TSp","player_id","salary"
"27","Giannis Antetokounmpo",72,"MIL","PF",0.85,0.53,0.29,0.18,0.07,71.6,20,24157304
"28","Steven Adams",80,"OKC","C",0.42,0.3,0.11,0.05,0.15,64.8,3,24157304
"29","Kevin Love",21,"CLE","PF",0.63,0.47,0.19,0.08,0.06,61.5,336,24119025
"30","Marc Gasol",144,"TOT","C",1.27,1.03,0.3,0.44,0.1,57.9,194,24119025
"31","Chandler Parsons",3,"MEM","SF",0.38,0.37,0.05,0.09,0.01,49.9,425,24107258
"32","Harrison Barnes",154,"TOT","PF-SF",1.47,1.18,0.32,0.14,0.07,58.8,36,24107258
"33","Nicolas Batum",72,"CHO","SF",0.3,0.24,0.04,0.1,0.03,60.3,39,2.4e+07
"34","Rudy Gobert",80,"UTA","C",0.5,0.28,0.2,0.06,0.12,77.2,203,23491573
"35","Kawhi Leonard",60,"TOR","SF",0.78,0.55,0.21,0.1,0.04,65.4,324,23114066
"36","DeAndre Jordan",138,"TOT","C",1.14,0.68,0.39,0.26,0.34,74.4,298,22897200
"37","LaMarcus Aldridge",81,"SAS","C",0.64,0.49,0.15,0.07,0.09,61.2,10,22347015
"38","Serge Ibaka",51,"TOR","C",0.55,0.44,0.09,0.05,0.08,59.8,263,21666667
"39","Aaron Gordon",78,"ORL","PF",0.47,0.4,0.1,0.11,0.05,55.7,206,21590909
"40","Danilo Gallinari",68,"LAC","SF",0.65,0.43,0.2,0.09,0.03,68.6,191,21587579
"41","Victor Oladipo",36,"IND","SG",0.59,0.51,0.12,0.16,0.02,55,417,2.1e+07
"42","Ryan Anderson",16,"TOT","PF",0.56,0.63,0.15,0.17,0.2,42.2,16,20421546
"43","Joakim Noah",1,"MEM","C",0.43,0.31,0.16,0.13,0.08,62.3,403,20261172
"44","Kyrie Irving",67,"BOS","PG",0.72,0.56,0.11,0.21,0.03,61.6,269,20099189
"45","Jabari Parker",34,"TOT","PF",1.62,1.3,0.32,0.27,0.14,59.1,423,2e+07
"46","Jimmy Butler",130,"TOT","SF-SG",1.7,1.26,0.5,0.36,0.16,62,91,19841627
"47","Zach LaVine",62,"CHI","SG",0.69,0.52,0.17,0.13,0.02,61.9,317,19500000
"48","Wesley Matthews",136,"TOT","SF-SG",1.45,1.33,0.32,0.32,0.06,51.8,354,19360228
"49","Allen Crabbe",20,"BRK","SG",0.36,0.33,0.05,0.04,0.01,52.8,125,19332500
